sgRNA	Gene	Func	Clinic	Exon	library	day0_r1	day0_r2	day5_r1	day5_r2	day10_r1	day10_r2	lib_ratio	day0_rep1_ratio	day0_rep2_ratio	day5_rep1_ratio	day5_rep2_ratio	day10_rep1_ratio	day10_rep2_ratio	day5_day0_rep1	day5_day0_rep2	day10_day0_rep1	day10_day0_rep2	day10_day5_rep1	day10_day5_rep2	day5_day0	day10_day0	day10_day5	day5_lib	day10_lib
Gene_A_41243594_NGG	Gene_A_41243594_NGG	synonymous SNV;nonsynonymous SNV	NA	exon10	5445	8487	12000	7195	11520	11361	9876	1997.285	2169.235	2183.556	1938.964	2108.237	2267.947	2301.302	0.893846909164	0.965506265926	1.04550544316	1.05392396623	1.16966947298	1.0915765163	0.929794469801	1.04972855347	1.12898988708	1.01317563593	1.1438650468
Gene_T_41244551_NGG	Gene_T_41244551_NGG	synonymous SNV;synonymous SNV	NA	exon10	6601	8834	13194	9841	13140	12894	10825	2421.318	2257.927	2400.82	2652.028	2404.708	2573.973	2522.437	1.17454107241	1.00161944669	1.13997175285	1.05065644238	0.970567806976	1.04895771129	1.08542833513	1.09394435886	1.00784577245	1.04421145839	1.05240410388
Gene_T_41196468_NGG	Gene_T_41196468_NGG	UTR3;UTR3	NA	NA	5318	7086	10242	6708	10373	10319	7601	1950.7	1811.146	1863.665	1807.723	1898.328	2059.937	1771.182	0.998110036408	1.01859937274	1.1373666176	0.950375738129	1.13952026942	0.93302211209	1.00850111747	1.04253497663	1.03374697218	0.94992848721	0.981985697442
Gene_T_41244712_NGG	Gene_T_41244712_NGG	nonsynonymous SNV;nonsynonymous SNV	NA	exon10	5466	7410	10851	6923	11141	9636	8622	2004.988	1893.959	1974.48	1865.663	2038.878	1923.593	2009.095	0.98505986666	1.03261516956	1.01564659003	1.01753119809	1.03105062383	0.985392456047	1.0093324465	1.01660850798	1.00720878587	0.973706825178	0.980726069183
Gene_T_41199691_NGG	Gene_T_41199691_NGG	nonsynonymous SNV;nonsynonymous SNV	NA	NA	3173	4735	6419	4776	6899	6367	5026	1163.891	1210.243	1168.02	1287.073	1262.563	1271.017	1171.157	1.06348311868	1.08094296331	1.05021636151	1.00268574168	0.987525183109	0.927602820612	1.07205805245	1.0268729741	0.957852022799	1.09530703477	1.04914205884
Gene_A_41245289_NGG	Gene_A_41245289_NGG	synonymous SNV;synonymous SNV	NA	exon10	1789	2085	3897	2515	3664	4217	3142	656.225	532.916	709.11	677.761	670.537	841.821	732.148	1.2717970562	0.945603644004	1.57965045148	1.03248861249	1.24206172972	1.09188307282	1.08556342621	1.26725930053	1.16737471983	1.02731380243	1.19926016229
Gene_A_41197471_NGG	Gene_A_41197471_NGG	UTR3;UTR3	NA	NA	4929	6232	9471	6480	9734	10670	8514	1808.01	1592.868	1723.371	1746.28	1781.387	2130.006	1983.929	1.09631180989	1.03366425453	1.33721438311	1.15119089273	1.21973910255	1.11369904462	1.0637553566	1.24054237345	1.1661914234	0.975566230275	1.1376969707
Gene_A_41203130_NGG	Gene_A_41203130_NGG	nonsynonymous SNV;nonsynonymous SNV	Uncertain_significance	exon20	11241	19223	27435	19146	27550	16147	14552	4123.32	4913.303	4992.155	5159.611	5041.834	3223.356	3390.902	1.05013083866	1.00995141377	0.656046655376	0.679246137189	0.624728492129	0.672553281207	1.02988120287	0.667738735554	0.648364814985	1.23704260159	0.80205489751
Gene_A_41197805_NGG	Gene_A_41197805_NGG	nonsynonymous SNV;nonsynonymous SNV	NA	exon23	5161	8464	10482	8504	11518	12301	11239	1893.111	2163.356	1907.336	2291.723	2107.871	2455.595	2618.908	1.05933697459	1.10513879044	1.13508594979	1.37307113167	1.07150602407	1.24244225572	1.08079756464	1.24659468218	1.15340256396	1.16200106597	1.34025500882
Gene_T_41197654_NGG	Gene_T_41197654_NGG	UTR3;UTR3	NA	NA	2721	4462	6137	3928	5639	5029	4616	998.092	1140.465	1116.707	1058.548	1031.975	1003.917	1075.619	0.928172280605	0.924123337635	0.880269889913	0.963206105093	0.948390625649	1.04229172218	0.926169117816	0.921301522436	0.994744377364	1.04725967145	1.04175566982
Gene_A_T_NGG_nontargeting_11	nontargeting	Negative;Negative	Negative	NA	13153	13885	23136	14210	21172	19911	16649	4824.663	3548.937	4209.896	3829.42	3874.618	3974.747	3879.544	1.07903296114	0.920359552825	1.119982406	0.921529652989	1.03795013344	1.00127135114	0.992937726589	1.01230313889	1.01950314887	0.798401670749	0.81397301739
Gene_A_41226516_NGG	Gene_A_41226516_NGG	nonsynonymous SNV;nonsynonymous SNV	NA	exon14	3704	5655	7118	4755	6886	7510	5477	1358.667	1445.39	1295.213	1281.414	1260.184	1499.189	1276.248	0.886552418378	0.972955027474	1.03722109604	0.985357620716	1.16994897824	1.01274734483	0.927386418244	1.01271034148	1.09200471514	0.935327788192	1.02138235491
Gene_A_41226501_NGG	Gene_A_41226501_NGG	nonsynonymous SNV;nonsynonymous SNV	NA	exon14	5142	6929	10277	7761	10541	9113	7677	1886.141	1771.018	1870.034	2091.494	1929.074	1819.189	1788.892	1.18095581186	1.03157161848	1.02719961062	0.956609345071	0.869803594942	0.927331973786	1.10423251302	0.990944650063	0.897405789431	1.06581851516	0.956471705986
Gene_T_41243734_NGG	Gene_T_41243734_NGG	nonsynonymous SNV;nonsynonymous SNV	NA	exon10	4274	7581	10156	7128	10056	9040	8371	1567.749	1937.666	1848.016	1920.908	1840.315	1804.616	1950.607	0.991351450663	0.995832828287	0.931334915305	1.05551412975	0.939459880432	1.05993104441	0.993539076975	0.991954157798	0.998404774192	1.19956160074	1.19764802912
